name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Bonecracker Core,dcp_magellan_bonecracker_core,3,,0,450,,75,,0,30,0,,,,HIGH_EXPLOSIVE,40,,,1,,,,,,,,650,,,60,,,SYSTEM,,,,,,,,,,,,,,,1.5
Bonecracker Sub,dcp_magellan_bonecracker_sub,3,,0,450,,25,,0,30,0,,,,FRAGMENTATION,5,,,1,,,,,,,,650,,,20,,,SYSTEM,,,,,,,,,,,,,,,1.5
Boneshaker Cannon,dcp_magellan_boneshaker,1,,1200,700,,400,,0,50,10,,,,FRAGMENTATION,100,,,0.75,2,0.25,0,5,1,15,,700,,,100,,,,"he10, dcp_magellan, dcp_magellan_adv_bp",,dcp_magellan,,General,,,,,,,,,,1.4
Boneshaker Battery,dcp_magellan_boneshakerbattery,3,0.5,1600,700,,300,,0,40,12,,,,FRAGMENTATION,75,,,0.825,3,0.15,1,4,1,10,,800,,,75,,,,"he12, dcp_magellan, dcp_magellan_startiger, dcp_magellan_yellowtail, no_sell, restricted",,dcp_magellan,,General,,,,,,,,,,1.4
Bonecrusher Cannon,dcp_magellan_bonecrusher,2,0.5,3200,800,,800,200,0,12,12,,,,FRAGMENTATION,200,,0.1,0.9,1,,2,8,1,10,,800,,,100,,,,"he13, dcp_magellan, dcp_magellan_antique, dcp_magellan_blackcollar, rare_bp, hist2t",,Antique,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,1.4
Bonecrusher Battery,dcp_magellan_largebonecrusher,2,,7200,900,,800,200,0,8,20,,,,FRAGMENTATION,200,,0.1,1.0333,2,0.2,1,6,1,10,,800,,,100,,,,"he18, dcp_magellan, dcp_magellan_antique, dcp_magellan_blackcollar, rare_bp, hist3t",,Antique,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#High Explosive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvo Assault Gun,dcp_magellan_salvoag,1,,600,700,,50,,25,25,4,,,,HIGH_EXPLOSIVE,50,,,1.2,3,0.15,5,15,2,5,,600,,,60,,,RESET_BARREL_INDEX_ON_BURST,"he5, dcp_magellan_core_bp, dcp_magellan_startiger",,dcp_magellan,,General,,,,,,,,,,1.5
Revolver Cannon,dcp_magellan_revgrenade,1,0.7,1000,550,,100,,50,45,6,6,1,3,HIGH_EXPLOSIVE,100,,,0.3333,1,,3,9,3,10,,850,1000,20,200,,,,"he7, dcp_magellan_adv_bp, dcp_magellan_blackcollar",,dcp_magellan,,Anti Armor,,,,,,,,,,1.5
Beehive Cannon,dcp_magellan_beehive,0,0.5,1400,800,,400,,25,18,10,,,,HIGH_EXPLOSIVE,400,,,2.5,1,,1,7,1,10,,900,,,300,,,,"he12, dcp_magellan_core_bp",,dcp_magellan,,Strike,,,,Spread Pattern,Special pre-fragmented ammunition splits into a %s damage core projectile along with five %s damage submunitions.,150 | 50,,,,1.5
Beehive Core,dcp_magellan_beehive_core,3,,0,850,,150,,50,18,0,,,,HIGH_EXPLOSIVE,150,,,1,,,,,,,,900,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Beehive Sub,dcp_magellan_beehive_sub,3,,0,850,,50,,25,18,0,,,,HIGH_EXPLOSIVE,50,,,1,,,,,,,,900,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Burstmaster Cannon,dcp_magellan_burstmaster,1,0.3,1800,1000,,250,,75,9,13,5,0.4,2,HIGH_EXPLOSIVE,250,,,1.25,1,,1,7,2,10,,1050,,,250,,,DO_NOT_CONSERVE,"he14, LR, dcp_magellan_adv_bp, dcp_magellan_blackcollar",,dcp_magellan,,Strike,,,,,,,,,,1.5
Blast Hammer Artillery,dcp_magellan_largemortar,2,,4000,1000,,1000,,100,7,20,,,,HIGH_EXPLOSIVE,1250,,0.2,4.8,1,,2,10,2,8,,500,700,30,1600,0.3,,"BOMB, DO_NOT_CONSERVE","he20, LR, dcp_magellan, dcp_magellan_startiger, rare_bp",,dcp_magellan,,Fire Support,,,,,Projectile is %s by point defense.,vulnerable to interception,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#PD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Flenser CIWS,dcp_magellan_smciws,0,,300,350,,20,,1,120,4,,,,HIGH_EXPLOSIVE,10,,,1.05,20,0.05,1,6,1,10,,1350,,,10,,,PD,"pd7, SR, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.6
LFlenser Tracers,dcp_magellan_flenser_tracer,3,,0,375,,20,,1,120,1,,,,ENERGY,10,,,1,1,,0,0,0,0,,1350,,,10,,,SYSTEM,,,,,,,,,,,,,,,1.6
Heavy Flenser CIWS,dcp_magellan_medciws,1,,1200,450,,50,,1,60,10,,,,HIGH_EXPLOSIVE,25,,,1.17,20,0.07,2,8,1,10,,1200,,,10,,,"PD, PD_ALSO","pd11, SR, dcp_magellan, dcp_magellan_core_bp, dcp_magellan_blackcollar",,dcp_magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.7
HFlenser Tracers,dcp_magellan_grinder_tracer,3,,0,475,,50,,1,60,1,,,,ENERGY,25,,,1,1,,0,0,0,0,,1200,,,10,,,SYSTEM,,,,,,,,,,,,,,,1.6
PD Maser,dcp_magellan_smpdmaser,1,,750,400,300,,,0,120,6,,,,FRAGMENTATION,,100,,0.3,0.3,0.3,,,,,10000,,,,,,,"PD, PD_ONLY","pd9, beam6, dcp_magellan, dcp_magellan_adv_bp, dcp_magellan_blackcollar, dcp_magellan_startiger",,dcp_magellan,,Point Defense,,,,,,,,,,1.9
Heavy PD Maser,dcp_magellan_medpdmaser,1,0.5,3000,500,600,,,0,90,10,,,,FRAGMENTATION,,200,,0.4,0.4,0.4,,,,,10000,,,,,,,"PD, PD_ONLY, IGNORES_FLARES","pd15, beam10, dcp_magellan, dcp_magellan_adv_bp, dcp_magellan_startiger",,dcp_magellan,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.,decoy flares,,,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Missiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasefire AFM,dcp_magellan_crackerafm,0,,500,1000,,200,200,20,24,4,24,0.2,4,FRAGMENTATION,,,,3.85,2,0.15,4,12,1,15,,425,175,5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, GROUP_LINKED, DO_NOT_AIM","missile5, SR, dcp_magellan_core_bp, dcp_magellan_theherd",,dcp_magellan,,Anti-fighter,Medium,Good,,,,,,,,2.1
Foxfire Rocket Launcher,dcp_magellan_calliope_sm,1,,750,1600,,100,,25,9,5,24,0.2,12,KINETIC,,,,9.5,3,0.25,4,12,1,15,,900,150,3.5,100,,,"DO_NOT_CONSERVE, GROUP_LINKED","utility9, missile5, dcp_magellan, dcp_magellan_core_bp, leveller,  dcp_magellan_levellercore_bp",,dcp_magellan,,Fire Support,Very Fast,Good,,,"Dumbfire missiles orient on launch, but do not continue tracking their targets.",,,,,2.1
Foxfire Rocket Battery,dcp_magellan_calliope,2,,3000,1600,,100,,25,6,12,72,0.4,24,KINETIC,,,,11,6,0.2,4,12,1,15,,900,150,3.5,100,,,"DO_NOT_CONSERVE, GROUP_LINKED","utility14, missile9, dcp_magellan, dcp_magellan_adv_bp, leveller, dcp_magellan_levellercore_bp",,dcp_magellan,,Fire Support,Very Fast,Good,,,"Dumbfire missiles orient on launch, but do not continue tracking their targets.",,,,,2.1
Flashfire Rocket Barrage,dcp_magellan_LKmissile_pod,2,,6400,2000,,200,,40,4,20,90,0.375,30,KINETIC,,,,13.8,5,0.3,2,8,2,10,,800,100,5,175,,,"DO_NOT_CONSERVE, GROUP_LINKED","utility18, missile12, dcp_magellan, rare_bp, leveller",,dcp_magellan,,Fire Support,Fast,Good,,,"Hits on hull or armor raise the target's soft flux by %s. Dumbfire missiles orient on launch, but do not continue tracking their targets.",200,,,,2.1
Ripfire SRM Launcher,dcp_magellan_ripfiresrm,0,,600,1200,,300,,10,12,4,40,,,FRAGMENTATION,,,,5.52,5,0.12,5,15,3,15,,560,140,6,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike9, missile4, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,2.1
Ripfire SRM Battery,dcp_magellan_ripfiresrmpod,1,,2400,1200,,300,,10,8,10,100,,,FRAGMENTATION,,,,6.44,10,0.09,5,15,3,15,,560,140,6,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike14, missile10, dcp_magellan, dcp_magellan_adv_bp",,dcp_magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,2.1
Rendfire SRM System,dcp_magellan_rendfiresrmpod,1,,5000,1500,,400,,20,6,18,120,,,FRAGMENTATION,,,,16.18,15,0.13,2,8,1,10,,750,50,10,130,,,"STRIKE, DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike18, missile14, dcp_magellan, rare_bp",,dcp_magellan,,Strike,Fast,Good,,,Volatile warheads have %s/%s chances to do %s/%s additional damage to armor. This damage is not reduced by armor.,40% | 60% | 120 | 160,,,TRUE,2.1
Slamfire Torpedo Rack,dcp_magellan_slamfire_rack,0,,250,1200,,1200,,30,10,3,2,,,HIGH_EXPLOSIVE,0,,,1,1,,0,2,2,5,,750,250,3,350,,,STRIKE,"strike7, rocket3, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Torpedo,Fast,None,,,Volatile warheads do %s additional damage to armor. This damage is not reduced by armor.,300,,,TRUE,9.8
Slamfire Torpedo (Single),dcp_magellan_slamfire_single,0,,150,1200,,1200,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,,3,1,,0,2,2,5,,750,250,3,350,,,STRIKE,"strike5, rocket1, dcp_magellan_civ",,dcp_magellan,,Torpedo,Fast,None,,,Volatile warheads do %s additional damage to armor. This damage is not reduced by armor.,300,,,TRUE,9.9
Longfire LRM Launcher,dcp_magellan_stratLRM_launcher,0,0.5,1000,4000,,1000,,15,8,8,24,0.08,4,FRAGMENTATION,,,,23.2,4,0.6,12,16,1,5,,300,100,30,200,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, CONSERVE_1","utility14, missile8, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Long Range Support,Very Slow,Very Poor,,,,,,,,2.1
Balefire MRM Tube,dcp_magellan_balefiremrm_tube,1,0.5,1250,2000,,600,,25,15,5,5,,,ENERGY,100,,,10,1,,1,4,2,15,,400,100,12.5,275,,,"DO_NOT_AIM, GROUP_ALTERNATING","utility5, missile6, dcp_magellan, dcp_magellan_adv_bp, no_dealer",,dcp_magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,TRUE,2.1
Balefire MRM Pod,dcp_magellan_balefiremrm_pod,2,,5000,2000,,400,,25,10,12,24,,,ENERGY,50,,,14,3,0.5,2,8,2,10,,400,100,12.5,225,,,"DO_NOT_AIM, GROUP_ALTERNATING","utility12, missile10, dcp_magellan, dcp_magellan_adv_bp, no_dealer",,dcp_magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,TRUE,2.1
Fusion Bomb Launcher,dcp_magellan_hvyfusionbomb_pod,2,,3000,1000,,2000,,50,12,10,8,,,ENERGY,500,,,10,1,0,0,0,0,0,,300,400,4.5,1000,0.25,,STRIKE,"strike13, rocket10, dcp_magellan, dcp_magellan_adv_bp",,dcp_magellan,,Strike,Slow,None,,,,,,,TRUE,2.1
Fusion Bomb Barrage,dcp_magellan_hvyfusionbomb_barrage,3,,7500,1000,,500,,15,8,20,120,,,ENERGY,125,,,14.35,12,0.15,12,30,2,5,,300,400,5.25,250,0.2,,"STRIKE, USE_VS_FRIGATES","strike19, rocket15, dcp_magellan, rare_bp",,dcp_magellan,,Strike,Slow,None,,Spread Pattern,,,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electron Bomb Pod,dcp_magellan_electrontorp,2,0.7,1000,400,,400,1200,0,30,7,3,0.1,1,ENERGY,600,,0.2,4.8,,,0,0,0,0,,450,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike8, dcp_magellan, rare_bp, dcp_magellan_levellercore_bp",SR_strike_only,dcp_magellan,,Strike,,,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to multiple weapons and engines | 20%,,,,19.75
Twin Electron Bomb,dcp_magellan_dualelectrontorp,3,0.7,2400,500,,300,800,0,30,14,8,0.1,2,ENERGY,450,,0.3,5.52,2,0.18,0,4,2,10,,450,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike15, dcp_magellan, rare_bp, dcp_magellan_levellerunique_bp",SR_strike_only,dcp_magellan,,Strike,,,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to multiple weapons and engines | 20%,,,,19.75
Light Fusion Torch,dcp_magellan_smhetlaser,1,0.7,900,500,,30,,0,15,7,40,5,10,HIGH_EXPLOSIVE,15,,,0.05,5,0.05,0,0,0,0,,400,,,,,,,"energy9, strike7, SR, dcp_magellan, dcp_magellan_adv_bp, dcp_magellan_blackcollar, dcp_magellan_startiger",,dcp_magellan,,Anti Armor,,,,,,,,,,20
Heavy Fusion Torch,dcp_magellan_medhetlaser,2,0.3,2000,600,,50,,0,15,12,60,6,20,HIGH_EXPLOSIVE,25,,,0.05,10,0.05,0,0,0,0,,500,,,,,,,"energy14, strike10, SR, dcp_magellan, dcp_magellan_startiger, rare_bp",,dcp_magellan,,Anti Armor,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Built-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linked Flak,dcp_magellan_linkflak,3,,500,500,,100,,4,30,5,,,,FRAGMENTATION,25,,,1.25,1,,0.15,0.75,0.15,15,,900,,,100,,,"PD, PD_ONLY, SYSTEM","he3, pd7",,dcp_magellan,,Point Defense,,,,,,,,,,1.8
Electron Charge PD,dcp_magellan_triflak,3,,1250,700,,120,,4,40,7,,,,ENERGY,100,,,0.75,1,,2,6,2,6,,500,750,15,360,,,"BOMB, PD, PD_ONLY, SYSTEM","energy5, pd8",,dcp_magellan,,Point Defense,,,,,Chaff rounds %s for a short time after detonation.,decoy missiles,,,,1.8
Charge Launcher,dcp_magellan_flakcharge,2,,800,500,,75,,50,45,4,,,,HIGH_EXPLOSIVE,60,,,0.75,1,,3,9,3,10,,500,750,10,200,,,SYSTEM,he7,,dcp_magellan,,Anti Armor,,,,,,,,,,1.5
Stormfire MRM-C Launcher,dcp_magellan_clusterlrm_builtin,3,,3000,2500,,750,,25,0,25,40,0.1667,4,HIGH_EXPLOSIVE,0,,,11.3,4,0.5,2,10,2,10,,325,100,25,225,,,"DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile15,,dcp_magellan,,Fire Support,Medium,Good,,,Submunitions each do %s additional damage to armor. This damage is not reduced by armor.,150,,,TRUE,2.1
Balefire MRM Launcher,dcp_magellan_cruiserlrm_builtin,3,,5000,2000,,600,,25,0,25,32,0.1,4,ENERGY,100,,,14.5,4,0.5,2,10,2,10,,400,100,12.5,275,,,"DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile16,,dcp_magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,TRUE,2.1
Heavy Fusion Cannon,dcp_magellan_scatterblaster,3,,4000,700,,600,,0,15,15,,,,ENERGY,900,,0.1,1.4,1,,1,5,2,10,,750,,,,,,SYSTEM,energy20,,dcp_magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,,4.75
Triple Fusion Cannon,dcp_magellan_trinitycannon,3,,10000,800,,400,,0,8,30,,,,ENERGY,600,,0.2,2,3,0.4,4,12,2,10,,800,,,,,,"STRIKE, USE_VS_FRIGATES, SYSTEM",energy20,,dcp_magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,,4.75
Light Electron Lance,dcp_magellan_electrolance_med,3,,3000,1200,600,,200,0,12,12,,,,ENERGY,,857,0.15,1.8,0.9,1.65,,,,,10000,,,,,,,SYSTEM,"energy20, beam10",,dcp_magellan,,General,,,,,,,,,,20
Heavy Electron Lance,dcp_magellan_bursttpc,3,,7500,1200,1200.5,,400.5,0,7,20,,,,ENERGY,,1714,0.2,2.4,1.2,2.2,,,,,10000,,,,,,,SYSTEM,"energy20, beam10",,dcp_magellan,,General,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Fighter built-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Flenser Pod,dcp_magellan_smciws_ftr,3,,300,350,,20,,1,75,2,,,,HIGH_EXPLOSIVE,10,,,0.55,6,0.05,2,7,1,10,,1100,,,10,,,"PD, SYSTEM","pd7, SR",,dcp_magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.6
Heavy Flenser Pod,dcp_magellan_medciws_ftr,3,,1200,450,,50,,1,60,10,,,,HIGH_EXPLOSIVE,25,,,0.73,12,0.07,4,12,2,10,,1100,,,10,,,"PD, PD_ALSO, SYSTEM","pd11, SR",,dcp_magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.7
Mini PD Maser,dcp_magellan_dronemaser,3,,500,500,75,,100,0,105,4,,,,FRAGMENTATION,,25,0.1,0.1,,,,,,,4000,,,,,,,"PD, SYSTEM","pd7, beam4",,dcp_magellan,,Point Defense,,,,,,,,,,1.9
Targeting Laser,dcp_magellan_targetingbeam,3,,2000,1200,5,,,0,30,5,,,,FRAGMENTATION,,1,0.1,0.1,,,,,,,4000,,,,,,,SYSTEM,"energy0, beam0",,,,Targeting,,,,,Paints targets for the ship's missiles.,,,,,1.9
Ripfire SRM Bay,dcp_magellan_ripfireftr,0,,600,800,,300,,10,4,2,9,,,FRAGMENTATION,0,,,5.9,3,0.05,0,0,0,0,,540,120,4,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED, SYSTEM","strike9, missile4",,dcp_magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,100,,,TRUE,2.1
Electron Microbolter,dcp_magellan_ebolter_ftr,3,,300,400,,35,,1,75,9,,,,ENERGY,20,,,0.325,3,0.1,0,0,0,0,,1600,,,45,,,SYSTEM,energy12,,dcp_magellan,,General,,,,,,,,,,1.3
Electron Bomb Bay,dcp_magellan_electrontorp_ftr,3,,1000,500,,300,400,0,30,8,2,,,ENERGY,0,,,0.65,2,0.35,1,4,4,5,,350,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, SYSTEM",strike10,SR_strike_only,dcp_magellan,,Strike,,,,,,,,,,19.75
Light Fusion Lance,dcp_magellan_minifusion_lance,1,,1500,600,900,,,0,45,8,,,,ENERGY,,900,0.25,0.5,1,4,,,,,3200,,,,,,,SYSTEM,"energy12, beam8",,dcp_magellan,,General,,,,,,,,,,20
Bonechipper,dcp_magellan_bonesaw_ftr,3,,300,450,,120,,1,75,3,,,,FRAGMENTATION,30,,,0.6,5,0.1,1,6,1,20,,950,,,45,,,SYSTEM,he7,,dcp_magellan,,General,,,,,,,,,,1.3
Bonechip Flak,dcp_magellan_boneshaker_ftr,3,,300,600,,120,,1,60,10,,,,FRAGMENTATION,30,,,0.4,1,,2,8,1,15,,800,,,45,,,"PD, PD_ALSO, SYSTEM","he11, pd",,dcp_magellan,,General,,,,,,,,,,1.3
Chasefire AFM Rack,dcp_magellan_crackerftrsingle,3,,500,750,,200,200,50,0,2,2,0.12,1,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile3,,dcp_magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Chasefire AFM Bay,dcp_magellan_crackerftr,3,,500,750,,200,200,50,0,3,4,0.3,2,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile4,,dcp_magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Chasefire AFM Bay (Double),dcp_magellan_crackerftrdouble,3,,500,750,,200,200,50,0,4,8,0.3,4,FRAGMENTATION,0,,,2.38,2,0.12,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile5,,dcp_magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Leveller Weapons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunfire Grenade Pod,dcp_magellan_stunfire_rack,2,0.3,400,1500,,300,,30,10,4,8,,,HIGH_EXPLOSIVE,0,,0.1,5.75,2,0.15,4,8,2,5,,800,50,8,200,,,"STRIKE, USE_VS_FRIGATES, CONSERVE_FOR_ANTI_ARMOR","strike5, rocket4, leveller, dcp_magellan_levellercore_bp, restricted",,Leveller,,Grenade,Fast,None,,,Shaped-charge warheads have %s/%s/%s chances to do %s/%s/%s additional damage to armor. This damage is not reduced by armor.,20% | 60% | 20% | 50 | 100 | 150,,,TRUE,9.8
