trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
magellan_solenoidbattery_ring,magellan_bigsolenoid_shot,projectile_trail_ring,10,0,0.08,0.2,15,20,"[135,135,155]","[85,85,100]",0.85,40,467,15,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_lgkinetic_trail,magellan_lgkinetic_shot,projectile_trail_cel,10,0,0.05,0.2,10,15,"[155,190,210]","[55,90,110]",0.6,400,400,20,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_bonesaw_ftr_trail,magellan_bonesaw_ftr_shot,projectile_trail_standard,10,0,0,0.2,6,4,"[155,135,100]","[45,30,10]",0.6,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonechip_trail,magellan_bonechip_shot,projectile_trail_standard,10,0,0,0.2,7,5,"[155,135,100]","[45,30,10]",0.7,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonesaw_trail,magellan_bonesaw_shot,projectile_trail_standard,10,0,0.05,0.15,8,6,"[155,135,100]","[45,30,10]",0.8,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonegrinder_trail,magellan_bonegrinder_shot,projectile_trail_standard,10,0,0.03,0.24,9,6,"[155,135,100]","[45,30,10]",0.7,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_boneshakerbattery_trail,magellan_boneshakerbattery_shot,projectile_trail_standard,10,0,0.05,0.2,9,6,"[155,135,100]","[45,30,10]",0.8,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_boneshaker_trail,magellan_boneshaker_shot,projectile_trail_standard,10,0,0.05,0.25,10,7,"[155,135,100]","[45,30,10]",0.8,400,1200,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonecrusher_trail,magellan_bonecrusher_shot,projectile_trail_standard,10,0,0.05,0.5,15,10,"[155,135,100]","[45,30,10]",1,400,1200,15,0,1,TRUE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
magellan_edefensor_trail,magellan_edefensor_shot,projectile_trail_standard,10,0,0.1,0.4,4,2,"[155,135,100]","[45,30,10]",0.7,400,1200,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_burstmaster_trail,magellan_burstmaster_shot,projectile_trail_standard,10,0,0.15,0.05,18,6,"[190,155,30]","[70,50,10]",0.75,400,1200,15,0,1,TRUE,FALSE,TRUE,10,30,0.1,0,0,100,true,false
magellan_burstmaster_core,magellan_burstmaster_shot,projectile_trail_cel,10,0,0.1,0.25,6,4,"[170,155,90]","[90,70,50]",1,400,1200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_largemortar_bomb_glow,magellan_largemortar_bomb,projectile_trail_standard,10,0,0.1,0.2,36,16,"[210,170,90]","[70,50,10]",1,400,400,20,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_largemortar_bomb_trail,magellan_largemortar_bomb,projectile_trail_standard,10,0,0,1.5,18,32,"[190,155,30]","[75,75,75]",0.8,400,-400,15,0.1,0.1,TRUE,TRUE,FALSE,10,20,0.1,0,0,50,true,false
magellan_lrmbomblet_trail,magellan_lrmbomblet,projectile_trail_standard,10,0,0.1,0.3,10,5,"[190,155,30]","[90,70,50]",0.75,400,1200,10,0,1,TRUE,FALSE,TRUE,10,30,0.1,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_electrontorp_trail,magellan_electrontorp_shot,projectile_trail_standard,10,0,0.1,0.5,24,12,"[50,50,90]","[45,45,45]",0.8,400,-400,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_core,magellan_electrontorp_shot,projectile_trail_standard,10,0,0.1,0.05,15,9,"[135,150,255]","[0,0,10]",1,400,-400,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_ftr_trail,magellan_electrontorp_ftr_shot,projectile_trail_standard,10,0,0.1,0.5,18,9,"[50,50,90]","[45,45,45]",0.8,400,-400,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_ftr_core,magellan_electrontorp_ftr_shot,projectile_trail_standard,10,0,0.1,0.05,10,6,"[135,150,255]","[0,0,10]",1,400,-400,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_bursttpc_trail,magellan_bursttpc_shot,projectile_trail_standard,10,0,0.1,0.6,10,5,"[255,75,75]","[50,10,10]",0.7,300,-180,3,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_bursttpc_core,magellan_bursttpc_shot,projectile_trail_standard,10,0,0.1,0.3,5,3,"[225,200,255]","[125,100,155]",1,300,-180,3,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_fuelrod_glow,magellan_fuelrod_shot,projectile_trail_standard,10,0,0.1,0.2,30,15,"[173,255,47]","[73,155,0]",1,400,400,20,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_fuelrod_trail,magellan_fuelrod_shot,projectile_trail_cel,10,0,0.15,0.45,9,9,"[173,255,47]","[23,105,0]",0.75,400,400,-5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_fuelscatter_sub_trail,magellan_fuelscatter_sub_shot,projectile_trail_cel,10,0,0.05,0.15,8,4,"[143,200,17]","[13,75,0]",0.75,400,400,0,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_ebolter_trail,magellan_ebolter_shot,projectile_trail_cel,10,0,0.1,0.15,12,12,"[100,110,255]","[50,55,155]",0.8,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_ebolter_core,magellan_ebolter_shot,projectile_trail_standard,10,0,0.05,0.05,10,5,"[135,150,255]","[75,90,200]",1,400,400,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_scatterblaster_trail,magellan_scatterblaster_shot,projectile_trail_cel,10,0,0.15,0.25,40,24,"[240,30,90]","[140,0,30]",0.8,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_scatterblaster_core,magellan_scatterblaster_shot,projectile_trail_standard,10,0,0.08,0.08,28,12,"[240,30,90]","[190,0,40]",1,400,400,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_trinitycannon_trail,magellan_trinitycannon_shot,projectile_trail_cel,10,0,0.12,0.2,32,18,"[240,30,90]","[140,0,30]",0.8,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_trinitycannon_core,magellan_trinitycannon_shot,projectile_trail_standard,10,0,0.06,0.06,21,8,"[240,30,90]","[190,0,40]",1,400,400,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_shockfire_trail,magellan_eneedle_missile,projectile_trail_standard,10,0,0.2,1,12,24,"[25,60,90]","[45,45,45]",0.8,400,-400,-10,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
magellan_strikemissile_trail,magellan_strikefighter_missile,projectile_trail_standard,10,0,0.4,1,12,24,"[25,60,90]","[45,45,45]",0.8,400,-400,-10,0.1,0.1,TRUE,FALSE,TRUE,10,30,0.1,0,0,50,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_supersolenoid_sm_trail,magellan_supersolenoid_sm_shot,projectile_trail_standard,10,0,0.15,0.8,20,40,"[55,190,210]","[5,90,110]",0.9,400,400,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_supersolenoid_sm_core,magellan_supersolenoid_sm_shot,projectile_trail_cel,10,0,0.3,0.6,5,3,"[215,255,255]","[40,80,80]",1,400,400,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_supersolenoid_sm_ring,magellan_supersolenoid_sm_shot,projectile_trail_ring,10,0,0.08,0.2,20,20,"[155,190,210]","[55,90,110]",1,40,800,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_supersolenoid_trail,magellan_supersolenoid_shot,projectile_trail_standard,10,0,0.2,1,32,60,"[55,190,210]","[5,90,110]",0.9,400,400,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_supersolenoid_core,magellan_supersolenoid_shot,projectile_trail_cel,10,0,0.5,0.9,9,6,"[215,255,255]","[40,80,80]",1,400,400,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_supersolenoid_ring,magellan_supersolenoid_shot,projectile_trail_ring,10,0,0.1,0.24,32,32,"[155,190,210]","[55,90,110]",1,40,1200,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_balefire_trail,magellan_balefire,projectile_trail_standard,10,0,0.3,1.2,18,36,"[75,40,60]","[45,45,45]",0.8,400,-400,-10,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
magellan_balefiresmall_trail,magellan_balefiresmall,projectile_trail_standard,10,0,0.2,0.9,18,36,"[75,40,60]","[45,45,45]",0.8,400,-400,-7.5,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
