name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stave,dcp_magellan_herdintercept,,The Herd,microburn,,800,200,500,,150,0,,150,180,150,75,105,44,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chela [TMC],dcp_magellan_intyellowtail,,Tichel Mercantile Concern,,,250,50,300,,100,0,,275,350,300,160,300,12,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jitte [CIV],dcp_magellan_lightfighter_civ,,dcp_magellan,,,300,60,240,,60,0,,350,500,300,150,270,24,OMNI,,120,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Skate,dcp_magellan_skate,,Antique,,,750,125,750,,100,0,,400,540,300,150,270,28,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,105
Rounder,dcp_magellan_rounder,,Antique,,,500,100,500,,100,0,,200,420,480,210,320,40,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Civvies/Utility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nan,dcp_magellan_skiff,Skiff,Antique,dcp_magellan_microburn,5,2000,250,1800,1750,140,30,,225,200,150,90,120,180,FRONT,,240,0.2,0.8,,,5,20,80,30,2,15,10,48000,10,10,240,0.2,4,4,,,,,,,HIDE_IN_CODEX,"no_sell, no_dealer",,0.4,2,2,,151
Musa,dcp_magellan_schooner,Schooner,Antique,dcp_magellan_smokelayer,7,2500,300,2200,2250,180,50,,210,180,150,75,105,240,FRONT,,260,0.2,0.6,,,10,30,120,40,2,20,12,72000,10,10,300,0.2,6,6,,,,,,,HIDE_IN_CODEX,"no_sell, no_dealer",,0.3,2,2,,152
Talley,dcp_magellan_cbtfreight,Merchanter,dcp_magellan,dcp_magellan_microburn,7,2500,300,1600,1500,120,40,,105,70,50,35,50,350,FRONT,,160,0.3,0.7,,,20,60,180,40,1.25,32,10,32000,10,10,270,0.25,7,5,,,,,,,,"rare_bp, no_dealer",,0.4,2,2,,153
Phillips,dcp_magellan_ltfreight,Freighter,dcp_magellan,dcp_magellan_smokelayer_def,6,4000,350,1600,1500,120,40,,60,30,15,20,12,400,OMNI,,140,0.4,1,,,30,75,400,60,3,20,9,30000,5,20,360,0.25,4,3,120,120,,,,,"CIVILIAN, FREIGHTER","dcp_magellan_civ, no_dealer",,0.5,2,3,,154
Phillips,dcp_magellan_ltfreight_cbt,Battle Barge,dcp_magellan,dcp_magellan_smokelayer_def,8,4500,500,2800,2666,160,75,,55,40,30,16,10,450,NONE,,,,,,,50,75,200,40,2,20,9,50000,10,15,420,0.2,6,4,120,120,,,,,HIDE_IN_CODEX,"no_sell, no_dealer",,0.3,2,3,,154
Hager,dcp_magellan_supply,Supply Ship,dcp_magellan,dcp_magellan_burndrive,7,5000,600,2800,2000,140,60,,40,20,10,10,10,1500,FRONT,,160,0.3,0.9,,,50,150,700,300,2,50,8,45000,3,20,480,0.25,6,6,,,,,,,"CIVILIAN, FREIGHTER","dcp_magellan_core_bp, no_dealer",,0.6,2,3,,155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Frigates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janz,dcp_magellan_linefrigate,Frigate,dcp_magellan,dcp_magellan_flakpods,4,2200,400,2100,1750,160,45,,120,120,105,60,90,200,FRONT,,270,0.2,0.8,,,25,50,40,30,1,30,10,9000,8,10,240,0.25,4,4,,,,,,,,dcp_magellan_core_bp,,0.4,2,2,,201
Dekker,dcp_magellan_supportfrigate,Frigate,dcp_magellan,dcp_magellan_ammofeed,5,1800,250,2200,2250,180,55,,160,160,120,60,120,200,OMNI,,150,0.4,1,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,5,5,,,,,,,,"dcp_magellan_core_bp, no_dealer",,0.5,2,2,,202
Almarshad,dcp_magellan_fastfrigate,Gunship,dcp_magellan,dcp_magellan_microburn,7,2200,500,3000,3125,260,50,1,135,240,160,70,150,260,FRONT,,270,0.2,0.8,,,20,30,40,20,1,20,9,16000,8,10,300,0.2,6,6,,,,,,,,"dcp_magellan_adv_bp, no_dealer",,0.4,2,2,,207
Yeager,dcp_magellan_phasefrig,Phase Frigate,dcp_magellan,dcp_magellan_smokelayer,10,1200,350,2500,3750,300,50,,170,180,150,60,120,200,PHASE,dcp_magellan_phasecloak,90,,,0.05,0.05,10,45,25,50,1,50,10,40000,10,20,180,0.3,8,8,,,,,,,PHASE,"dcp_magellan_adv_bp, no_dealer",,0.5,2,2,,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Destroyers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollard,dcp_magellan_supportdestroyer,Destroyer,dcp_magellan,dcp_magellan_ammofeed,10,5000,500,4400,4167,320,95,,90,56,36,25,50,375,FRONT,,300,0.3,0.9,,,50,100,100,60,2,30,9,47500,5,12,360,0.25,11,11,,,,,,,,dcp_magellan_core_bp,1.5,0.5,2,3,,302
Kant,dcp_magellan_patroldestroyer,Scoutship,dcp_magellan,dcp_magellan_targdrones,15,4500,350,3200,3333,300,90,1,75,50,35,35,50,350,OMNI,,150,0.2,1,,,40,80,120,180,2,90,9,52000,5,15,480,0.25,12,10,,,,,,,,"dcp_magellan_adv_bp, no_dealer",,0.8,2,3,,303
Capella,dcp_magellan_fastdestroyer,Destroyer-Leader,dcp_magellan,dcp_magellan_burstjets,12,3500,300,7200,7333,440,105,,120,120,60,35,50,320,OMNI,,180,0.4,1,,,50,70,80,50,2,25,9,60000,5,20,300,0.25,16,16,,,,,,,SHIP_WITH_MODULES,"dcp_magellan_adv_bp, no_dealer",,0.5,2,3,,304
,dcp_magellan_fastdestroyerarmor,Plating,dcp_magellan,,1,2000,600,200,2500,200,5,,0,0,0,10,10,125,NONE,,,,,,,0,0,0,0,1,0,,20000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,305
Graff,dcp_magellan_linedestroyer,Destroyer,dcp_magellan,dcp_magellan_burndrive,10,6000,3000,4000,3333,200,110,,60,40,20,30,20,600,NONE,,,,,,,100,180,90,90,3,30,9,39000,5,12,400,0.2,9,9,,,,,,,,"dcp_magellan_core_bp, special_allows_system_use, system_allows_special_use",,0.4,2,3,,301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Cruisers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenel,dcp_magellan_lightcruiser,Fast Cruiser,dcp_magellan,dcp_magellan_microburn,13,9000,1000,10000,10400,520,140,,60,40,25,25,30,1300,OMNI,,160,0.2,0.8,,,135,210,120,100,2,50,9,120000,3,12,400,0.2,21,21,,,,,,,,dcp_magellan_core_bp,1.2,0.4,2,3,,400
Edger,dcp_magellan_carrier,Carrier,dcp_magellan,dcp_magellan_fightercom,18,9000,1200,4800,6000,300,120,3,50,20,15,10,12,2000,OMNI,,150,0.4,1,,,180,280,100,60,4,15,8,125000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","dcp_magellan_adv_bp, no_dealer",,0.4,2,3,,402
Sung,dcp_magellan_supportcruiser,Cruiser,dcp_magellan,dcp_magellan_ammofeed,17,8000,1000,10000,10500,520,120,,60,30,20,15,24,1200,OMNI,,180,0.4,0.8,,,140,200,120,80,2.4,36,8,140000,3,12,450,0.25,24,24,,,,,,,,rare_bp,,0.6,2,4,,403
Keu,dcp_magellan_phasecruiser,Phase Cruiser,dcp_magellan,fastmissileracks,21,7500,1500,9600,18000,800,130,,80,60,50,30,30,1050,PHASE,dcp_magellan_phasecloak,90,,,0.05,0.05,60,80,120,150,3,50,8,235000,4,20,450,0.25,30,30,,,,,,,PHASE,"rare_bp, no_dealer",,0.4,2,3,,404
Mallory,dcp_magellan_skipjack,Clipper,Antique,dcp_magellan_microburn,20,9000,1200,8400,7500,540,125,2,75,50,30,12,30,1400,OMNI,,180,0.2,1,,,80,400,400,300,3,60,9,425000,3,15,480,0.2,22,18,,,,,,,HIDE_IN_CODEX,"no_sell, no_dealer",,0.3,2,3,,405
Kreshov,dcp_magellan_cruiser,Protected Cruiser,dcp_magellan,dcp_magellan_burndrive,15,10800,5000,8000,8400,360,170,,45,25,15,12,16,2250,NONE,,,,,,,300,400,150,100,3,33,8,105000,3,12,480,0.2,24,24,,,,,,,,dcp_magellan_core_bp,1.5,0.3,2,3,,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goforth,dcp_magellan_herdcarrier,Carrier,The Herd,microburn,20,10000,1500,6000,5200,260,105,3,30,20,30,12,10,2600,OMNI,,180,0.2,1,,,210,300,200,40,4,10,7,160000,3,20,480,0.3,30,24,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","dcp_magellan_theherd, no_dealer",,0.6,3,4,,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Capitals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porey,dcp_magellan_battlecruiser,Battlecruiser,dcp_magellan,dcp_magellan_ammofeed,26,14000,1500,18000,18000,720,250,1,60,45,25,8,12,3000,OMNI,,140,0.2,1.2,,,400,480,150,240,8,30,8,300000,3,15,620,0.25,40,40,,,,,,,,"rare_bp, no_dealer",,0.5,2,4,,501
Mazian,dcp_magellan_battleship,Dreadnought,dcp_magellan,dcp_magellan_burndrive,32,30000,7500,14400,15000,600,325,,30,30,16,8,16,4000,NONE,,,,,,,1000,1500,250,300,14,12,7,400000,3,15,680,0.2,50,50,,,,,,,,"rare_bp, no_dealer",0.2,0.4,2,4,,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Levellers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarmfighter,dcp_magellan_swarmfighter,,Leveller,dcp_magellan_burstjets_ftr,,300,40,150,,40,0,,350,600,500,120,360,16,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramey,dcp_magellan_lev_dronefrig,Corvette,Leveller,dcp_magellan_burstjets_ftr,3,1200,200,1600,1000,100,30,,180,180,90,50,105,105,OMNI,,140,0.2,0.6,,,0,5,30,10,0.5,20,10,4000,5,15,150,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","dcp_magellan_levellercore_bp, no_dealer, restricted, auto_rec",,0.75,2,2,,601
Fletcher,dcp_magellan_lev_lancefrig,Corvette,Leveller,dcp_magellan_ionchargelayer,3,1200,200,1600,1000,100,25,,210,180,90,50,105,105,OMNI,,140,0.2,0.6,,,0,5,30,10,0.5,20,10,4000,5,15,150,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","dcp_magellan_levellercore_bp, no_dealer, restricted, auto_rec",,0.75,2,2,,601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
