id,type,text1,text2,text3,notes
dcp_DME_mystere,SHIP,"An older assault fighter model, reconfigured as a fighter-bomber with an upgraded weapons package. A smart flare launcher protects it from missile-armed interceptors.

A truly iconic fighter craft in the Southwestern core of the sector, one of the war-winning designs of Nikolaev's revolution. The durable basic spaceframe and modern, neither-fish-nor-fowl loadout of the Myst�re also make it an excellent trainer; most of the Nikolaev System Authority's ace fighter pilots learned their trade in these classic craft.",,,
dcp_DME_naja,SHIP,"While Dassault-Mikoyan is primarily known for producing civilian and armed-merchanter designs, this ugly frigate testifies to their prowess in crafting respectable combat craft. While not the equal of a Brawler in a stand-up fight, the Kobra is absurdly mobile and flexible, offering a shrewd captain many outfitting options.",,,
dcp_DME_naja_mk1,SHIP,"The first edition of the venerable Kobra hull, this ship is a museum piece now; lacking the high-end integrated PD weaponry and fully flexible slot layout, it's hopelessly outclassed by modern designs. The few still running are testament to the build quality of the original design, if not the good sense of their captains.",,,
dcp_DME_puddlejumper,SHIP,"A rugged light freighter, generously armed for its size. Many Puddle Jumper captains swear by their trusty craft... when they aren't swearing at them.",,,
dcp_DME_pup,SHIP,"An obsolete assault fighter, faithfully upgraded but now firmly behind the curve in speed and firepower. A tough frame and promiscuously available spares keep Pups flying in pirate and trade fleets around the sector.",,,
dcp_DME_rafale,SHIP,"A dependable shielded bomber wing, deploying the powerful Frappeur torpedo. A smart flare launcher and a layer of ablative armor make the Rafale I unusually survivable.",,,
dcp_DME_rafale2,SHIP,"A heavy shielded bomber wing, deploying proximity-fuzed Hedgehog cluster bombs en masse. Smart flare launchers and a layer of ablative armor make the Rafale II unusually survivable.",,,
dcp_DME_reef,SHIP,"A generic, even ordinary design, competitive with most light carriers found throughout the sector.

The Reef class is, like many prototypes, less a case of something going wrong than of not enough going right. While an excellent light carrier, it lacks the aggressive close-quarters focus typical of modern Blade Breaker vessels. The lack of engine stealth also makes them less useful in the sort of small-scale ambush scenarios where light carriers typically excel.",,,
dcp_DME_samoyed,SHIP,"When the Collapse hit the Nikolaev system, one of the first vessels Dassault-Mikoyan produced was this scrappy scout vessel, appropriately named for a loyal working animal. Now, Shalaikas are one of the company's most popular export designs, marrying a respectable cargo hold with powerful defenses.",,,
dcp_DME_sevastopol,SHIP,"An exceptionally durable vessel, produced in limited quantities as a better-protected alternative to the Tarsus. With superior fire arcs and a powerful, efficient shield, few freighter captains who own one would trade back.",,,
dcp_DME_skink,SHIP,"A lightweight, missile-armed interceptor. While by no means suitable for heavy combat, they can clear the battlespace of drones and other light craft efficiently.",,,
dcp_DME_slammer,SHIP,"A heavy line ship, angular and bristling with mounts for outsized weaponry. Echoes of this prototype are clearly visible in the current generation of Blade Breaker destroyers.",,,
dcp_DME_snakeeye,SHIP,"A durable heavy gunship, useful for providing light fire support or leading swarms of drone frigates. An efficient shield with wide coverage makes it highly survivable compared to most similar hulls.",,,
dcp_DME_snowgoose,SHIP,"While the Medusa set the standard for phase-skimming fast destroyers, this powerful prototype design is stiff competition. The Snow Goose is built around a tough, high-capacity flux frame with integrated point-defense beamers, allowing the ship to skip in and out of heavy fire-zones, intercepting multiple fighters or missiles simultaneously. A flexible turret layout allows the Snow Goose to focus on single targets or suppress swarms of smaller enemies with punishing, liquid firepower.",,,
dcp_DME_spearhead,SHIP,"An agile, heavily-armored hull that uses massive automation to minimize the crew area, allowing it to be packed to the gills with the ammunition stowage and power systems to support cruiser-scale firepower.",,,
dcp_DME_spooky,SHIP,"A devastating heavy gunship, designed to loiter around a target for extended periods and deliver high-volume, sustained fire.

While various proposals have been floated to use these tough, versatile craft in ground operations, they've shown relatively little utility against any but the most flimsy targets.",,,
dcp_DME_starsylph,SHIP,"These pricy luxury craft, while not the equal of a dedicated high-end combat frigate like the Tempest, have carved out a respectable niche for themselves as escort ships and secure couriers. Alas, the high sticker price has kept them out of the hands of many a sharp customer who could put a Star Sylph's more... exotic... features to good use.",,,
dcp_DME_stoat,SHIP,"True to their name, Husky frigates are tough and adaptable, and generous weapon arcs married to a powerful shield generator make them an excellent choice for protecting larger ships from bombers. A Goalkeeper drone provides area defense.",,,
dcp_DME_stoat_c,SHIP,"True to their name, Husky frigates are tough and adaptable, and generous weapon arcs married to a powerful shield generator make them an excellent choice for protecting larger ships from bombers. The Goalkeeper drone is swapped out for decoy flares on this customized export version.",,,
dcp_DME_stormkestrel,SHIP,"A powerful escort cruiser, designed around the need to operate for extended periods without resupply. Generous automation allows these ships to act as command nodes for task forces, while a flight deck enables them to project power across great distances.",,,
dcp_DME_tempestdrone,SHIP,"An advanced defensive drone, possibly the prototype for the Lycosid interceptor chassis. Mounting a SAM rack, a linear cannon, and a point-defense microgun on a compact, shielded frame, it supports the Tempest nicely.",,,
dcp_DME_BBtempest,SHIP,"An asymmetric, advanced design from the late Expansion Epoch, the Tempest-class is the quintessential attack frigate - fast, deadly and difficult to destroy.",,,
dcp_DME_tereshkova,SHIP,"Compact and efficient, the Tereshkova is a small survey vessel intended primarily for sale to the budget-conscious settlement authority or tech-mining firm. While in no sense competition for the venerable Apogee, these ships have a solid niche providing sensor management and fire support in smaller exploration fleets. The lack of a shield generator makes them second-line combatants at best.",,,
dcp_DME_thunderbolt,SHIP,"An outsized heavy fighter, designed around a pair of capacitor-driven laser units and an SRM turret. While slow, the inclusion of a frontal shield generator makes these clumsy craft more survivable than they first appear.",,,
dcp_DME_tonnerre,SHIP,"An agile missile cruiser, intended to provide long-range, highly mobile fire support. Like most similar ships, it's equipped with a missile autoforge, and can produce withering salvoes of bombardment missiles for extended periods of time.",,,
dcp_DME_tunguska,SHIP,"Designed to excel in small-scale skirmish combat, the Tunguska is a stiletto-shaped artillery destroyer with outsized firepower for its narrow frame. Larger engagements see Tunguskas relegated to the support role, sniping at cruisers and capital ships from behind a screen of picket ships.

Originally designed as a stop-gap hull to provide fire support for patrol fleets, the Tunguska's basic spaceframe has been upgraded into a fast hunter-killer over the years, most notably with the addition of higher-output engines; no other ship in the Dassault-Mikoyan arsenal is so well optimized for pursuit fighting and single-target damage.",,,
dcp_DME_vesper,SHIP,"A high-speed attack frigate with an absurdly versatile menu of fitting options. Vesper crews are reknowned for their recklessness and penchant for endless customization; a Vesper flown carefully or with stock parts would, after all, be a terrible waste of potential.",,,
dcp_DME_wanderer,SHIP,"These trim ships are tough, solid destroyer-class combatants, respected for their hardy internals and solid drive performance. A powerful focusing system makes them excellent platforms for beam weapons.",,,
dcp_DME_warlock,SHIP,"An impressively built battlecarrier, lightly-armed but with considerable area defenses. A heavy LRM launcher rounds out the design.",,,
dcp_DME_zelenograd,SHIP,"A hulking survey ship, built immediately post-Collapse to spearhead aggressive tech mining and exploration efforts. Over the years, the various iterations of the Zelenograd have been up-armored and refitted with heavier and heavier weapons packages to deal with claim-jumpers and raiders, until the final product is more of a pocket dreadnought than a large science vessel.

While the current Block XI Zelenograd is fairly described as more warship than explorer, it retains an impressive capability for long-range, independent operations with minimal trailing support craft. No few of the current small salvage and tech-mining firms would be delighted to compact their cumbersome, aging scavenger fleets and vulnerable tankers into nimble, purposeful expeditions spearheaded by a Zelenograd.",,,
dcp_DME_vesper_p,SHIP,"An unusual combination of backdoor dealings, political interplay and plain hubris delivered the blueprints for this advanced vessel to a willing rogue industrial conglomerate. Albeit lacking key technologies and manufacturing know-how, the design was nonetheless made flightworthy by assembling what was available and replacing the rest with stock components. 

While in appearance similar to the original, this frigate lacks its versatility and is best suited for the roles of long range support and assault on larger and slower vessels, not unlike the missile corvettes of old. ",,,
,,,,,
,,,,,
dcp_DME_zonedefbit,SHIP,A lightly armed defense drone with a low refit time.,,,
dcp_DME_funnel,SHIP,"A light offensive drone, often installed on Dassault-Mikoyan ships as a support weapon.",,,
dcp_DME_goalkeeper,SHIP,An agile CIWS drone with a shield and generous light weaponry.,,,
,,,,,
dcp_DME_3x4cmrailgun,WEAPON,"A short-ranged, salvo-firing double rail accelerator.",Close Support,,
dcp_DME_6cmrailgun,WEAPON,"An advanced shield-suppression weapon, trading rate of fire for punishing damage and accuracy. The extremely high velocity of each shot lends it limited armor-piercing ability as well.

Railguns are some of the oldest and most well-explored spaceborne weapons, having been recorded as in use during the pre-FTL conflicts in humanity's original solar system. This advanced version is notable for firing an especially small projectile at such high speeds that it forms a bright trail of vaporized armature material.",Close Support,,
dcp_DME_9cmrailgun,WEAPON,"A salvo-firing hypervelocity weapon, firing a three-round burst of powerful slugs for mid-range brawling. Accuracy and range both suffer, of course.

Designed and built specifically for the Sixth Bureau's fleets to exacting specifications, these burst-capable rail accelerators are rare and coveted; a few proposals to mount them on land-skimming hover vehicles might see them become more common.",Close Support,,
dcp_DME_12cmrailgun,WEAPON,"A hypervelocity shield-busting weapon, firing accurate, powerful slugs at impressive range. The only drawback is a low fire rate, making it less effective against small, fast targets.

Larger and more effective than the primitive hypervelocity driver favored by Domain engineers and doctrine, the Dassault-Mikoyan heavy rail accelerator was designed to deliver a greater kinetic impact using a smaller, much faster projectile. This was regarded as optimal for breaking shields at range with salvoes from multiple mounts, rather than plinking away with one or two.",Close Support,,
dcp_DME_20cmrailgun,WEAPON,"An enormous, high-powered kinetic weapon, hurling devastating electromagnetic thunderbolts against enemy shields. An unimpressive rate of fire and ponderous turn speed put this weapon firmly in the anti-capital niche.

A failed competitor to the Domain-standard Gauss Cannon, and largely overshadowed by it in most respects. Salvoes of slugs from multiple mounts on stations are deadly to most small and medium-sized ships.",Close Support,,
dcp_DME_amm_ftr,WEAPON,"This simple, compact unit launches and fires Itano AMMs in bursts of three rounds. Low ammunition capacity is offset by an autoloader, allowing sustained, if slow, fire during long engagements.",Anti-Fighter,,
dcp_DME_amm_samo,WEAPON,"This simple, compact unit launches and fires Itano AMMs in bursts of three rounds. Low ammunition capacity is offset by an autoloader, allowing sustained, if slow, fire during long engagements.",Anti-Fighter,,
dcp_DME_ammlight,WEAPON,"This simple, compact unit launches and fires Itano AMMs in bursts of six rounds, saturating point-defenses and overwhelming fighters. Accurate mesotronic guidance makes them difficult to evade.",Anti-Fighter,,
dcp_DME_ammpod,WEAPON,"This simple, compact unit launches and fires Itano AMMs in bursts of eight rounds, saturating point-defenses and overwhelming fighters. Accurate mesotronic guidance makes them difficult to evade.",Anti-Fighter,,
dcp_DME_AMMblistertube,WEAPON,"A launch system for the multi-warhead Tomino AMM, built-in on the Borzoi phase frigate as a means of ensuring area control by flooding the battlespace with Itano missiles. Because of the tendency for the system to completely overwhelm point defenses, Borzoi pilots often refer to the missile trigger as the 'kill 'em all' button.",Point Defense,,
dcp_DME_autohybridblaster,WEAPON,"A terrifying rapid-fire hybrid blaster, designed to pound shields and melt armor with a barrage of white-hot positron bolts.

Even with a superconducting cooling system, this weapon is built around a capacitor system designed to carefully regulate the fire rate, lest a poorly-contained packet slag the entire positon accelerator unit.",Assault,,
dcp_DME_autolaser,WEAPON,"A rapid-firing multiple laser mount designed for mid-range suppression of small and medium combatants. Compared to standard pulse lasers, armor damage is deficient, but rapid fire and high bolt speed improve performance against shields.",Assault,,
dcp_DME_autolaser_ftr,WEAPON,A rapid-firing multiple laser mount designed for mid-range suppression of small and medium combatants.,Assault,,
dcp_DME_autolaser_small,WEAPON,"A trio of light lasers mounted in a common housing, ideal for suppressing enemy shields and fighter craft. High bolt speed makes these weapons a perfect fit against faster, shielded enemies.",Assault,,
dcp_DME_autolaser_smallftr,WEAPON,"A light laser mounted in a compact housing, ideal for suppressing enemy shields and fighter craft.",Assault,,
dcp_DME_basilisk,WEAPON,"A monstrous high-powered shockbeam, capable of devastating strikes. Imperfections in hull armor have a tendency to fail explosively as the intense beam passes over them.",Close Support,,
dcp_DME_blazedriver,WEAPON,"A heavy repeating blaster, projecting a steady stream of fast, inaccurate anti-armor bolts at medium range.

Because of the small, but significant, core physical component of the blaze weapon's bolts, it uses ammunition-cycling equipment similar to a light machine gun.",Assault,,
dcp_DME_blazegun,WEAPON,"A light repeating blaster, projecting a rapid stream of fast, inaccurate anti-armor bolts at medium range.",Assault,,
dcp_DME_buzzgun,WEAPON,"Even more pathetic than its twin-mounted cousin, this single-barreled buzz gun is the point defense weapon of last resort.",Point Defense,,
dcp_DME_chasseurLRMlauncher,WEAPON,"A fearsome multiple-warhead kinetic support missile, used to disrupt enemy formations at range and spike shields.

While Chasseurs will never be common, many skeptical captains have warmed up to the weapon for close support use; unlike the Squall, the cloud of Voltigeur submunitions arrive closely-spaced if not simultaneously, and the launching ship can retreat immediately after the missile is fired.",Close Support,,
dcp_DME_clusterlauncher,WEAPON,"A long-range cluster munition, deploying concussive EMP bomblets to soften up enemy formations from a distance. Due to the size of the ammunition, the autoloader can falter in long engagements.

Rumor has it this weapon was originally developed with an eye to destroying shieldless enemies by surprise, though whether this means civilian shuttles in dock, or Domain autodefenses, no one beyond the design team knows for sure.",Fire Support,,
dcp_DME_electronrocket,WEAPON,"An unguided torpedo carrying an electron-compression warhead, equally effective against shields and armor. Penetration is relatively low, but hull hits cause a devastating arc surge that disables multiple weapons and engines.

Semi-inert warheads have been the dream of strike munitions designers for milennia - the advanced electron-compression device at the heart of this system is as close as any of them are likely to get. The end result is a more compact warhead than most torpedoes, with fewer handling problems.",Strike,,
dcp_DME_electronrocket_rack,WEAPON,"An pair of unguided torpedoes carrying electron-compression warheads, equally effective against shields and armor. Penetration is relatively low, but hull hits cause a devastating arc surge that disables multiple weapons and engines.

Semi-inert warheads have been the dream of strike munitions designers for milennia - the advanced electron-compression device at the heart of this system is as close as any of them are likely to get. The end result is a more compact warhead than most torpedoes, with fewer handling problems, and the possibility of twin mountings like this.",Strike,,
dcp_DME_electronrocket_pod,WEAPON,"A launcher for unguided torpedoes carrying electron-compression warheads, equally effective against shields and armor. Penetration is relatively low, but hull hits cause a devastating arc surge that disables multiple weapons and engines.

Semi-inert warheads have been the dream of strike munitions designers for milennia - the advanced electron-compression device at the heart of this system is as close as any of them are likely to get. Because the warheads are compact and nearly impossible to detonate by accident, the launcher is both unusually small, and carries a larger than average magazine.",Strike,,
dcp_DME_erpulsebeam,WEAPON,"A long-range combat laser; an advanced, but unremarkable design, effective against fighters and unshielded ships. Damage falls off with range.",Close Support,,
dcp_DME_fragtorp_ftr,WEAPON,"A multiple-launch pack for Streak submunitions. Useful against small, fast targets and ships with damaged armor.",Strike,,
dcp_DME_fragtorp_rack,WEAPON,"A twin rack for the Streak multi-warhead MRM. Useful against small, fast targets and ships with damaged armor.",Strike,,
dcp_DME_fragtorp_tube,WEAPON,"A small launcher for the Streak multi-warhead MRM. Useful against small, fast targets and ships with damaged armor.",Strike,,
dcp_DME_fragtorp_pod,WEAPON,"A swarming multiple-launch pod for Streak submunitions. Useful against small, fast targets and ships with damaged armor.",Strike,,
dcp_DME_gravmissilelauncher,WEAPON,Advanced EMP/fragmentation missile launcher capable of rapid fire. Ample internal magazines. ,Fire Support,,
dcp_DME_gravmissiletube,WEAPON,Advanced EMP/fragmentation missile tube capable of rapid fire. Small internal magazine.,Fire Support,,
dcp_DME_heavylrpd,WEAPON,"A powerful combat laser, capable of ruinous damage. To minimize damage to the mount, it's fired only in short bursts. Damage falls off with range.",Strike,,
dcp_DME_hedgehog_bay,WEAPON,"Launches a brief salvo of proximity-fuzed explosive bombs. Due to the low velocity of the bombs, it's difficult to score reliable hits on moving targets.",Fire Support,,
dcp_DME_hedgehog_pod,WEAPON,"Launches a 12-round salvo of proximity-fuzed explosive bombs. Due to the low velocity of the bombs, this weapon is typically mounted only by capital ships and stations.

Until recently, the Hedgehog system was seen as a weapon without a mission by most Dassault-Mikoyan strategists. The dominant paradigm of countering fighters with fighters of one's own left little room for an area-defense weapon that worked best on slow or stationary platforms, already disfavored by the dominant cruiser-warfare doctrine. Fortunately, the inevitable need for stationary defenses rescued the design concept from the scrapheap, and in a twist of fate, some attack groups have begun experimenting with Hedgehog pods in forward offensive roles, where fast frigates act as large bombers against enemy capital ships.",Fire Support,,
dcp_DME_hellhoundlauncher,WEAPON,"If ordinary Hellriders were bad, this magazine-fed launcher unit is worse. Holding twelve rounds, it can pump out the hellish blue thunderbolts fast enough to devastate all but the heaviest shields and armor.

Tube-launched Hellrider missiles had to overcome a variety of teething problems to reach the market; the consequences of a missile jamming in the loading mechanism were more than a little daunting for Dassault-Mikoyan engineers. The final design places a high premium on safety; accidental detonation of the projectile's metallic helium warhead is vanishingly unlikely, although aftermarket tinkerers continue to blow themselves up trying to improve on the design.",Strike,,
dcp_DME_hellhound,WEAPON,"Mad, bad, and dangerous to know, the Hellrider missile marries a high-yield metastable warhead to a devilishly fast drive unit and excellent guidance. This twin rack is the most common mounting.

Hellrider pursuit missiles were one of the first commercially successful Dassault-Mikoyan weapon designs to reach the sector; while neither as promiscuously available as the Harpoon, nor quite as powerful as the Atropos, the high average hit rate speaks for itself - a Hellrider will follow a target through almost any evasive maneuver a living crew can survive, and has the speed to catch anything that can't teleport out of the way.",Strike,,
dcp_DME_hellhound_single,WEAPON,"Mad, bad, and dangerous to know, the Hellrider missile marries a high-yield metastable warhead to a devilishly fast drive unit and excellent guidance. This single unit is a common mounting.

Hellrider pursuit missiles were one of the first commercially successful Dassault-Mikoyan weapon designs to reach the sector; while neither as promiscuously available as the Harpoon, nor quite as powerful as the Atropos, the high average hit rate speaks for itself - a Hellrider will follow a target through almost any evasive maneuver a living crew can survive, and has the speed to catch anything that can't teleport out of the way.",Strike,,
dcp_DME_hellspear_sp,WEAPON,"A modified Hellspear cannon, firing experimental shells with a higher projectile velocity, greater accuracy, and increased rate of fire.",Strike,,
dcp_DME_hellspear,WEAPON,"A gigantic electrothermal sniper weapon, designed to punch through heavy armor at long range with unique explosive-rod ammunition.

As with similar weapons, the Hellspear's advantage over comparable heavy armor-piercers is the high velocity of its shots; Hellspear crews can engage targets at the outer edge of the weapon's range with a surprising hit rate. Some gun commanders use the weapon as an immense sniper rifle, hunting the battlespace for targets of opportunity from a distance.",Strike,,
dcp_DME_howler,WEAPON,"This electrothermal smoothbore gun is ideal for breaching armor, but suffers from a low rate of fire due to a complex loading mechanism for the unique explosive-rod ammunition.

'Remarkable for being totally unremarkable' sums up the Howler. The only notable design feature is the open-cycle cooling system, which allows the gun to use higher-energy propellants, and achieve correspondingly higher muzzle velocities, than would otherwise be the case.",Strike,,
dcp_DME_hybridblaster,WEAPON,"A supercharged pulse laser unit married to a blaster-type positron accelerator produces this fearsome energy weapon, which combines excellent armor penetration with a comparatively high rate of fire.

Hybrid weaponry is a signature product of the Dassault-Mikoyan military line, and jealously guarded against export sales and competition. Tinkering with unlicensed hybrid weapons is an excellent way to blow yourself into constituent atoms; either by carelessly breaching the positron containment unit's shielding, or by disabling some vital piece of flux-regulating equipment.",Assault,,
dcp_DME_hybridrepeater,WEAPON,"A burst-firing light weapon, feared for the generous EMP payload. A rare sight in most fleets, it's a perennial favorite of experienced frigate captains with the right connections and ready credits.",Close Support,,
dcp_DME_icaxgun,WEAPON,"A linked pair of five-barreled rotary magnetic accelerators, firing long bursts to overwhelm enemy shields. Ideal for close-range, hit-and-run suppression of shielded ships.",Close Support,,
dcp_DME_impaler,WEAPON,"An unremarkable point-defense laser. Compared to the standard PD Laser, it has longer range, but poorer flux efficiency. Some crews have been known to tinker with these hardy mounts, setting them to preferentially target ships and fighters when in range.",Point Defense,,
