name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Blackcollar Refit,dcp_magellan_blackcollarmod,4,,Blackcollar Regiment,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_BlackcollarUpgrade,This ship has been upgraded slightly from the standard design and given a stealth coating for the elite Magellan Blackcollars.,"Doubled weapon health, increased engine health, reduced sensor profile and increased OP. Blocks Hardened Shields and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_blackcollarmod.png
Skytiger Refit,dcp_magellan_startigermod,4,,Skytiger Guards Division,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_StartigerUpgrade,This ship has been upgraded from the standard design for the elite Magellan Skytiger Guards Division.,"Doubled weapon health, increased engine health, reduced EMP damage and increased OP. Blocks Hardened Shields and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_startigermod.png
Leveller Refit,dcp_magellan_levellermod,4,,Leveller,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_LevellerRefit,"This ship has been given a comprehensive refit by Leveller mechanics, installing a modern powerplant and shield generator, and improving the ship's handling.","Doubled weapon health and slowed turn rate, increased flux dissipation, better handling. Blocks Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_levellermod.png
Herd Refit,dcp_magellan_herdmod,4,,The Herd,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_HerdRefit,"This ship has been sloppily refit by the Herd's mechanics, incorporating a number of crude but effective modifications to the engines and other systems. The result is a fast, but clumsy, handling profile, and the internal systems are highly resistant to damage.","Doubled weapon health and slowed turn rate, better top speed, worse handling, worse target leading. Blocks Hardened Shields and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_herdmod.png
Tichel Mercantile Refit,dcp_magellan_yellowtailmod,4,,Tichel Mercantile Concern,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_YellowtailRefit,"This ship has been fitted out to serve in the merchant fleets of the Tichel Concern, with an emphasis on speed, defensive operations, and cost-effectiveness.","Doubled weapon health, increased engine health, increased speed. Blocks Hardened Shields and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_yellowtailmod.png
#Leveller Hullmod,,,,,,,,,,,,,,,,,,
Spartacus Reactor,dcp_magellan_spartacusreactor,4,,Leveller,dcp_magellan_core_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_SpartacusReactor,"This ship is powered by an experimental cryoflux reactor, which promises improved performance for some critical ship systems.","Discounts energy weapon OP, variable EMP damage taken by flux level.",graphics/DCP/hullmods/dcp_magellan_spartacusmod.png
,,,,,,,,,,,,,,,,,,
#Antique Hullmods,,,,,,,,,,,,,,,,,,
Classic Design,dcp_magellan_classicdesign,4,,Antique,dcp_magellan_antique_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_ClassicDesign,"This ship is a painstakingly restored classic from an earlier, more cultured era; a combination of careful maintenance and judicious upgrades have given it a new lease on life in the modern Persean Sector.","Half again weapon range, doubled weapon health, increased engine health. Blocks range upgrades and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_classicdesign.png
Classic Design,dcp_magellan_classicdesign_b,4,,Antique,dcp_magellan_antique_hullmod,,,,TRUE,,0,0,0,0,data.hullmods.dcp_magellan_ClassicDesignB,"This ship is a painstakingly restored classic from an earlier, more cultured era; a combination of careful maintenance and judicious upgrades have given it a new lease on life in the modern Persean Sector.","Half again weapon range, doubled weapon health, increased engine health. Blocks range upgrades and Armored Mounts.",graphics/DCP/hullmods/dcp_magellan_classicdesign_b.png
Early Model Shield,dcp_magellan_classicshieldgen,,,Antique,dcp_magellan_antique_hullmod,,,,TRUE,TRUE,0,0,0,0,data.hullmods.dcp_magellan_ClassicShieldHullmod,"This shield is old and crappy. It sucks and throws sparks. This hullmod exists solely for fighters, and if you can see it, something is off.","Takes a hot, steaming dump into the shield generator. Should not be visible, used for Antique fighters.",graphics/DCP/hullmods/dcp_magellan_classicdesign.png
,,,,,,,,,,,,,,,,,,
#Magellan Exclusive Hullmods,,,,,,,,,,,,,,,,,,
Magellan Shield Tuning,dcp_magellan_defense_mod,2,0.7,Magellan,"defensive, no_drop, no_build_in, dcp_magellan_exclusive_hullmod, dcp_magellan",Defenses,,FALSE,,,4,8,12,20,data.hullmods.dcp_magellan_MagellanDefense,"A comprehensive rebuild of the shield generator, coupled with the installation of a heavy spall liner between the armor and hull.",Improves the performance of shields.,graphics/DCP/hullmods/dcp_magellan_defense_mod.png
Magellan Fighter Crowding,dcp_magellan_fighter_mod,2,0.7,Magellan,"offensive, no_drop, no_build_in, dcp_magellan_exclusive_hullmod, dcp_magellan",Fighters,,FALSE,,,0,8,12,20,data.hullmods.dcp_magellan_MagellanFighter,"A refit of the fighter bays to improve chassis storage efficiency, at the cost of increasing refit times for individual fighters and over-loading the bays.",Improves the performance of fighters.,graphics/DCP/hullmods/dcp_magellan_fighter_mod.png
Magellan Engine Rebuild,dcp_magellan_movement_mod,2,0.7,Magellan,"engines, no_drop, no_build_in, dcp_magellan_exclusive_hullmod, dcp_magellan",Engines,,FALSE,,,4,8,12,20,data.hullmods.dcp_magellan_MagellanMovement,"A complete overhaul of the ship's engines and fuel pumps, improving drive performance but increasing fuel consumption and engine fragility.",Improves the performance of engines.,graphics/DCP/hullmods/dcp_magellan_movement_mod.png
,,,,,,,,,,,,,,,,,,
