trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
dcp_artillery_trail,dcp_artillery_shot,projectile_trail_electric,10,0,0.15,0.6,24,16,"[185,125,255]","[55,75,255]",0.6,400,400,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_artillery_core,dcp_artillery_shot,projectile_trail_standard,10,0,0.1,0.9,12,8,"[255,255,255]","[75,100,255]",0.6,400,400,10,0,1,TRUE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_scatterlaser_core_trail,dcp_scatterlaser_core_shot,projectile_trail_standard,10,0,0.15,0.3,24,4,"[25,175,255]","[30,40,100]",1,300,-180,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_scatterlaser_sub_trail,dcp_scatterlaser_sub_shot,projectile_trail_standard,10,0,0.12,0.2,12,3,"[15,115,155]","[30,40,100]",1,300,-180,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_scatterlaser_submicro_trail,dcp_scatterlaser_submicro_shot,projectile_trail_standard,10,0,0.05,0.1,12,1.5,"[15,115,155]","[30,40,100]",1,300,-180,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_blaze_med_trail,dcp_blaze_medshot,base_trail_fuzzy,10,0,0.1,0.2,8,4,"[255,120,75]","[90,0,75]",0.8,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_blaze_trail,dcp_blaze_shot,base_trail_fuzzy,10,0,0.05,0.15,5,3,"[175,80,50]","[60,0,50]",0.8,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_TBM_submunition_trail,dcp_TBM_submunition,projectile_trail_standard,10,0,0.15,0.3,12,4,"[255,175,125]","[175,75,25]",0.6,300,400,0,0,0,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
dcp_bomblet2_trail,dcp_bomblet2,projectile_trail_standard,10,0,0.1,0.2,10,6,"[175,175,155]","[75,75,55]",0.6,400,1200,0,0,0,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_electrogun_trail,dcp_electrogun_shot,projectile_trail_electric,10,0,0.2,0.4,18,6,"[100,110,255]","[50,55,155]",0.8,400,400,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_electrogun_core,dcp_electrogun_shot,projectile_trail_standard,10,0,0.4,0.1,9,3,"[135,150,255]","[75,90,200]",1,400,400,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,50,true,false
dcp_electrogun_helix,dcp_electrogun_shot,projectile_trail_standard,10,0,0,1,21,10.5,"[75,85,255]","[25,35,200]",0.8,400,400,5,0,1,FALSE,FALSE,TRUE,45,60,0.3,0,80,240,true,false
dcp_plasmadisruptor_trail,dcp_plasmadisruptor_shot,projectile_trail_cel,10,0,0.2,0.2,10,4,"[200,125,255]","[45,15,125]",0.9,400,-400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_plasmadisruptor_glow,dcp_plasmadisruptor_shot,projectile_trail_smooth,10,0,0.1,0.7,20,8,"[75,25,255]","[25,15,155]",0.75,400,-400,20,0,1,FALSE,FALSE,TRUE,15,45,0.3,0,25,100,true,false
dcp_plasmadriver_trail,dcp_plasmadriver_shot,projectile_trail_cel,10,0,0.25,0.5,15,7,"[200,125,255]","[45,15,125]",0.9,400,-400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_plasmadriver_glow,dcp_plasmadriver_shot,projectile_trail_smooth,10,0,0.1,0.9,40,12,"[75,25,255]","[25,15,155]",0.75,400,-400,20,0,1,FALSE,FALSE,TRUE,15,45,0.3,0,25,100,true,false
dcp_plasmadriver_core,dcp_plasmadriver_shot,projectile_trail_cel,10,0,0.15,0.35,10,5,"[175,125,255]","[45,15,125]",1,400,-400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_thermalmortar_trail,dcp_thermalmortar_shot,projectile_trail_standard,10,0,0.1,0.7,20,12,"[75,25,255]","[25,15,155]",0.8,400,-400,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
dcp_thermalmortar_core,dcp_thermalmortar_shot,projectile_trail_standard,10,0,0.1,0.2,9,5,"[200,125,255]","[45,15,125]",1,400,-400,7,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
dcp_jackalblade_lg_trail,dcp_jackalblade_lg,projectile_trail_jackal,10,0,0.1,0.1,30,15,"[255,150,75]","[125,75,15]",0.8,100,1500,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_jackalblade_trail,dcp_jackalblade,projectile_trail_jackal,10,0,0.1,0.1,38,19,"[255,150,75]","[125,75,15]",0.8,100,1500,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_breakerLRM_trail.proj,dcp_breakerLRM,projectile_trail_standard,10,0,0.3,1.2,16,48,"[25,75,30]","[45,45,45]",0.8,400,-400,-14,0.1,0.1,TRUE,FALSE,TRUE,5,10,0.1,0,0,50,true,false
dcp_breakerLRMbombB_trail,dcp_breakerLRMbombB,projectile_trail_standard,10,0,0.15,0.9,9,6,"[75,255,175]","[0,175,100]",0.8,320,-220,10,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
dcp_shellback_trail,dcp_shellback_shot,projectile_trail_electric,10,0,0.05,0.2,10,4,"[75,85,255]","[25,35,200]",0.7,200,200,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_shellback_core,dcp_shellback_shot,projectile_trail_standard,10,0,0,0.1,5,2,"[120,135,235]","[60,80,180]",1,400,400,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,50,true,false
dcp_shellhead_ring,dcp_shellhead_shot,projectile_trail_ring,10,0,0.07,0.135,20,60,"[75,85,255]","[25,35,200]",1,50,-200,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_shellhead_trail,dcp_shellhead_shot,projectile_trail_cel,10,0,0.15,0.3,12,6,"[75,85,255]","[25,35,200]",0.7,50,200,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_shellshocker_trail,dcp_electronfan_shot,projectile_trail_electric,10,0,0.25,0.5,20,8,"[100,110,255]","[50,55,155]",1,400,400,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_shellshocker_helix,dcp_electronfan_shot,projectile_trail_standard,10,0,0,1,24,12,"[75,85,255]","[25,35,200]",0.8,400,400,5,0,1,FALSE,FALSE,TRUE,15,20,0.3,0,40,120,true,false
dcp_shellshocker_glow,dcp_electronfan_shot,base_trail_fuzzy,10,0,0.12,0.3,60,24,"[75,80,255]","[25,35,200]",0.6,400,400,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_bbheavymg_trail,dcp_bbheavymg_shot,projectile_trail_standard,10,0,0.12,0.28,4,2,"[75,75,155]","[45,45,45]",0.8,400,-400,5,0.25,0.25,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_phaserail_trail,dcp_phaserail_shot,projectile_trail_cel,10,0,0.2,1,18,12,"[200,200,200]","[90,90,100]",0.8,320,-200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_phaserail_core,dcp_phaserail_shot,projectile_trail_standard,10,0,0.1,0.2,9,6,"[150,200,255]","[70,80,100]",1,320,-200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_phaserail_glow,dcp_phaserail_shot,projectile_trail_smooth,10,0,1,0.6,48,16,"[50,100,175]","[35,40,50]",0.4,320,-200,45,0,1,FALSE,FALSE,TRUE,5,15,0.1,0,25,75,true,false
dcp_miniphaserail_trail,dcp_miniphaserail_shot,projectile_trail_cel,10,0,0.15,0.75,9,6,"[200,200,200]","[90,90,100]",0.8,320,-200,8,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_miniphaserail_core,dcp_miniphaserail_shot,projectile_trail_standard,10,0,0.05,0.1,4.5,3,"[150,200,255]","[70,80,100]",1,320,-200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_miniphaserail_glow,dcp_miniphaserail_shot,projectile_trail_smooth,10,0,0.9,0.45,18,9,"[50,100,175]","[35,40,50]",0.4,320,-200,24,0,1,FALSE,FALSE,TRUE,5,15,0.1,0,25,75,true,false
dcp_toreador_trail,dcp_matadorheavy_shot,projectile_trail_cel,10,0,0.03,0.07,12,9,"[100,150,225]","[35,40,50]",0.8,320,-200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_brigador_trail,dcp_brigador_shot,projectile_trail_cel,10,0,0.04,0.08,12,9,"[100,150,225]","[35,40,50]",0.8,320,-200,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_brigador_glow,dcp_brigador_shot,projectile_trail_smooth,10,0,0.04,0.04,30,16,"[50,100,175]","[35,40,50]",0.4,320,-200,20,0,1,FALSE,FALSE,TRUE,5,15,0.1,0,25,75,true,false
dcp_energymortar_trail,dcp_energymortar_shot,projectile_trail_standard,10,0,0.06,1,24,16,"[125,175,150]","[45,45,45]",0.8,400,-400,5,0,0,TRUE,TRUE,TRUE,10,30,0.2,0,25,100,true,false
dcp_energymortar_core,dcp_energymortar_shot,projectile_trail_cel,10,0,0.1,0.06,12,9,"[90,255,200]","[0,5,5]",1,400,-400,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
dcp_calliope_submunition_trail,dcp_calliope_submunition,projectile_trail_standard,10,0,0.15,0.3,9,3,"[175,175,155]","[75,75,55]",0.6,300,400,0,0,0,FALSE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_phaseblaster_trail,dcp_phaseblaster_shot,projectile_trail_cel,10,0,0.15,0.05,12,8,"[90,255,200]","[0,5,5]",1,400,-400,0,0,0.5,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_phaseblaster_glow,dcp_phaseblaster_shot,projectile_trail_standard,10,0,0.1,0.5,24,16,"[75,255,175]","[0,5,5]",0.4,400,-400,0,0,0.5,FALSE,FALSE,TRUE,15,45,0.3,0,50,100,true,false
dcp_rocketbomb_trail,dcp_rocketbomb,projectile_trail_standard,10,0,0.5,1,5,7,"[100,110,255]","[50,55,155]",1,250,1500,5,0.1,0.1,FALSE,FALSE,TRUE,15,30,0.25,0,30,60,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_phasedbuster_trail,dcp_phasedbuster_shot,projectile_trail_smooth,10,0,0.2,0.2,28,12,"[135,255,155]","[0,105,175]",1,300,500,5,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_phasedbuster_trail_smoke1,dcp_phasedbuster_shot,projectile_trail_cel,10,0,0.5,2,15,12,"[90,255,200]","[0,155,135]",0.8,300,500,10,0,0,TRUE,FALSE,TRUE,1,5,0.05,0,0,25,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_bravepulse_trail,dcp_bravepulse_shot,projectile_trail_cel,10,0,0.1,0.05,12,8,"[135,255,155]","[0,105,175]",0.8,320,-220,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_bravepulse_glow,dcp_bravepulse_shot,projectile_trail_smooth,10,0,0.08,0.12,24,16,"[75,255,175]","[0,5,5]",1,320,-220,5,0,1,TRUE,FALSE,TRUE,10,20,0.2,0,25,50,true,false
dcp_bravekinetic_trail,dcp_bravekinetic_shot,projectile_trail_smooth,10,0,0.1,0.25,32,96,"[125,175,255]","[70,80,100]",0.9,100,1800,15,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_bravekinetic_trail_smoke1,dcp_bravekinetic_shot,projectile_trail_cel,10,0,0.5,0.5,12,72,"[100,155,225]","[56,60,75]",0.6,100,1800,15,0,0,TRUE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_bravekinetic_trail_smoke2,dcp_bravekinetic_shot,projectile_trail_cel,10,0,0.5,1,16,128,"[50,100,175]","[35,40,50]",0.4,100,1800,15,0,0,TRUE,FALSE,TRUE,15,45,0.3,0,0,150,true,false
dcp_bravemissile_trail,dcp_bravemissile_shot,projectile_trail_smooth,10,0,0.15,0.15,21,10,"[135,255,155]","[0,105,175]",1,300,500,10,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_bravemissile_trail_smoke1,dcp_bravemissile_shot,projectile_trail_cel,10,0,0.4,1.6,9,9,"[90,255,200]","[0,155,135]",0.8,300,500,15,0,0,TRUE,FALSE,TRUE,1,5,0.05,0,0,25,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_alaudapulse_trail,dcp_alaudapulse_shot,projectile_trail_cel,10,0,0.07,0.05,12,8,"[25,175,255]","[30,40,100]",0.8,320,-220,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
dcp_alaudapulse_glow,dcp_alaudapulse_shot,projectile_trail_smooth,10,0,0.08,0.12,24,16,"[15,115,155]","[0,0,10]",1,320,-220,5,0,1,TRUE,FALSE,TRUE,10,20,0.2,0,50,100,true,false
dcp_alaudamissile_trail.proj,dcp_alaudamissile_shot,projectile_trail_standard,10,0,0.25,0.75,16,48,"[35,40,100]","[45,45,45]",0.8,400,-400,-9,0.1,0.1,TRUE,FALSE,TRUE,20,40,0.2,0,0,100,true,false
